,tag_1,tag_2,score
432,reggae,80s,0.0190814736838
433,rhythm and blues,80s,0.0241912090118
434,rnb,80s,0.214575467601
435,rock,80s,300.34481777
436,rock n roll,80s,0.0311118335555
437,sexy,80s,0.00875680432958
438,shoegaze,80s,0.0169469861453
439,singer-songwriter,80s,3.29077440047
440,soft rock,80s,9.68233894015
441,soul,80s,3.57500345481
442,speed metal,80s,0.0111742622544
443,sting,80s,0.0708053992133
444,swedish,80s,0.311883036983
445,synth,80s,0.00910807708001
446,synth pop,80s,13.3913621238
447,synthpop,80s,7.14345417574
448,techno,80s,0.00385261850593
449,thrash metal,80s,0.00425428558541
450,whitney houston,80s,0.119661557026
451,00s,90s,1.03024990673
452,60s,90s,0.00665974186544
453,70s,90s,0.100052960071
454,80's,90s,0.0656715584625
455,80s,90s,3.35976181468
456,80s Pop,90s,0.0667942414706
457,Acoustic Rock,90s,0.00729405460868
458,Avant-Garde,90s,0.0150354939905
459,Awesome,90s,0.0159091524777
460,Ballad,90s,0.0629493252949
461,California,90s,0.250202893874
462,Canadian,90s,0.0508725170949
463,Celine Dion,90s,0.169283325583
464,Disco,90s,0.0535993544494
465,Experimental Rock,90s,0.0773074339283
466,Favorite,90s,0.00956273305219
467,Funk Rock,90s,0.0461706271271
468,Gangsta Rap,90s,0.0328934568974
469,Gothic,90s,0.00497845278042
470,Great Lyricists,90s,0.0226072817285
471,Grunge,90s,9.42638652663
472,Hip-Hop,90s,0.273401309789
473,House,90s,0.00342576211799
474,Lo-Fi,90s,0.0311478823872
475,Love,90s,0.0583753498287
476,Manchester,90s,0.035892649359
477,Mellow,90s,0.0625977229508
478,Neo-Psychedelia,90s,0.00612500178073
479,Neo-Soul,90s,0.00474307540378
480,Nu Metal,90s,0.0147667802117
481,Nu-metal,90s,0.00655660423464
482,Pop-Rock,90s,0.349392264322
483,Post punk,90s,0.011647080415
484,Progressive,90s,0.00535678057435
485,Progressive rock,90s,0.0796877389816
486,Psychedelic Rock,90s,0.00877720766313
487,Rock and Roll,90s,0.00427672986048
488,Scottish,90s,0.0319414271968
489,Soundtrack,90s,0.0294227110365
490,UK,90s,0.745855516313
491,USA,90s,0.842389538492
492,West Coast Rap,90s,0.0199315139279
493,acoustic,90s,0.0964360025018
494,adult contemporary,90s,0.106547913887
495,alternative,90s,24.055128607
496,alternative metal,90s,0.0713608199574
497,alternative rap,90s,0.0177563092591
498,alternative rock,90s,32.7381846996
499,ambient,90s,0.00941678941522
500,american,90s,6.506841573
501,americana,90s,0.00248441562826
502,art rock,90s,0.022631177359
503,australian,90s,0.00565670658406
504,backstreet boys,90s,0.499221457727
505,beautiful,90s,0.0377031689031
506,blues,90s,0.0293471128749
507,blues rock,90s,0.0133286382975
508,boybands,90s,3.2677390471
509,brit pop,90s,0.0642848071835
510,british,90s,2.04054395176
511,britpop,90s,1.77125124183
512,chill,90s,0.0306046875313
513,chillout,90s,0.071990809124
514,classic,90s,0.0181750257294
515,classic rock,90s,0.95758428674
516,college rock,90s,0.126715003945
517,country,90s,0.00749173262947
518,crossover,90s,0.15959297387
519,dance,90s,1.18282924478
520,dance-pop,90s,0.0232193683249
521,diva,90s,0.425143806188
522,downtempo,90s,0.00137337556689
523,dream pop,90s,0.0120438468397
524,east coast rap,90s,0.0225711100777
525,easy listening,90s,0.044838479329
526,electro,90s,0.0066795245692
527,electronic,90s,0.283950196761
528,electronica,90s,0.076658369533
529,electropop,90s,0.00379216135344
530,emo,90s,0.0400222180583
531,england,90s,0.0326247543908
532,english,90s,0.132391980664
533,experimental,90s,0.179930808933
534,favorites,90s,0.787258844974
535,female,90s,1.31256561251
536,female vocalist,90s,0.749285278671
537,female vocalists,90s,2.43434546091
538,female vocals,90s,0.0185472636701
539,folk,90s,0.117031466813
540,folk rock,90s,0.0406656031086
541,french,90s,0.020747339443
542,funk,90s,0.300192437802
543,funk metal,90s,0.0701258220713
544,funky,90s,0.0224107458412
545,gangsta,90s,0.0514897443138
546,genius,90s,0.0699565655586
547,glam,90s,0.0100763884276
548,glam rock,90s,0.0336254942551
549,groovy,90s,0.0130505688428
550,guitar,90s,0.0267393081685
551,hair metal,90s,0.00802990881067
552,hard rock,90s,0.923071030074
553,hardcore,90s,0.0337866417
554,heavy metal,90s,0.0761412929135
555,hip hop,90s,0.214891955632
556,hiphop,90s,0.209746475141
557,indie,90s,2.66073727454
558,indie pop,90s,0.123858184006
559,indie rock,90s,1.76337174022
560,industrial,90s,0.0105727112327
561,irish,90s,0.0159539574939
562,jazz,90s,0.100163062214
563,jecks,90s,0.0131855999987
564,latin,90s,0.0060797602903
565,legend,90s,0.446090468785
566,los angeles,90s,0.00864872402946
567,madchester,90s,0.0221528640053
568,male vocalist,90s,0.0376185167962
569,male vocalists,90s,1.95472530288
570,melancholic,90s,0.00439846006159
571,melancholy,90s,0.00704150134701
572,metal,90s,0.239793815609
573,new romantic,90s,0.0278020060264
574,new wave,90s,0.192776860199
575,new york,90s,0.0455244029378
576,noise,90s,0.0297386010773
577,noise pop,90s,0.0172298550212
578,noise rock,90s,0.0462454671197
579,old school,90s,0.172775175486
580,oldies,90s,0.0229947654686
581,piano,90s,0.00577037483401
582,piano rock,90s,0.00758764188823
583,political,90s,0.0797791471458
584,pop,90s,20.1980417169
585,pop punk,90s,0.00927350241563
586,pop rock,90s,3.21301356261
587,post-grunge,90s,0.276146121597
588,post-punk,90s,0.342021218158
589,post-rock,90s,0.00892550080644
590,power pop,90s,0.00860048394976
591,psychedelic,90s,0.0731368806061
592,punk,90s,1.06119102768
593,punk rock,90s,0.18833125605
594,r and b,90s,0.105325090499
595,r&b,90s,0.167759596622
596,rap,90s,0.141526724221
597,rapcore,90s,0.0270630579715
