,tag_1,tag_2,count,number_of_pairs_x,number_of_pairs_y,totalPairs,pair_percent_of_total,pair_percent_of_x,pair_percent_of_y,perc_x_y_sum,score
131,alternative pop,2010s,19,1062,2632,2435982,7.79972922624e-06,0.0178907721281,0.0072188449848,0.0251096171129,0.100734057245
132,alternative rock,2010s,38,54194,2632,2435982,1.55994584525e-05,0.000701184632985,0.0144376899696,0.0151388746026,0.0157920904594
133,american,2010s,76,46372,2632,2435982,3.1198916905e-05,0.00163892003795,0.0288753799392,0.0305142999772,0.147647123326
134,british,2010s,25,49436,2632,2435982,1.02628016135e-05,0.000505704345012,0.00949848024316,0.0100041845882,0.00492965745434
135,canada,2010s,41,2430,2632,2435982,1.68309946461e-05,0.0168724279835,0.0155775075988,0.0324499355823,0.442369663654
136,check out,2010s,28,588,2632,2435982,1.14943378071e-05,0.047619047619,0.0106382978723,0.0582573454914,0.582286616367
137,check out this,2010s,16,440,2632,2435982,6.56819303263e-06,0.0363636363636,0.00607902735562,0.0424426637193,0.145193545899
138,dance,2010s,59,31691,2632,2435982,2.42202118078e-05,0.00186172730428,0.0224164133739,0.0242781406781,0.101078812639
139,dance pop,2010s,22,1086,2632,2435982,9.03126541986e-06,0.0202578268877,0.00835866261398,0.0286164895016,0.152924918387
140,deep,2010s,16,463,2632,2435982,6.56819303263e-06,0.0345572354212,0.00607902735562,0.0406362627768,0.13798090755
141,discovered on facebook,2010s,16,755,2632,2435982,6.56819303263e-06,0.0211920529801,0.00607902735562,0.0272710803358,0.0846161062195
142,dream pop,2010s,23,10987,2632,2435982,9.4417774844e-06,0.00209338308911,0.00873860182371,0.0108319849128,0.0172720713636
143,electro,2010s,39,15372,2632,2435982,1.6009970517e-05,0.00253708040593,0.0148176291793,0.0173547095853,0.060187109325
144,electronic,2010s,68,85203,2632,2435982,2.79148203887e-05,0.000798093963828,0.0258358662614,0.0266339602252,0.0575588212933
145,electronica,2010s,24,28305,2632,2435982,9.85228954894e-06,0.00084790673026,0.00911854103343,0.00996644776369,0.00761746743193
146,electropop,2010s,47,12108,2632,2435982,1.92940670333e-05,0.00388173108688,0.0178571428571,0.021738873944,0.133739963921
147,experimental,2010s,22,33393,2632,2435982,9.03126541986e-06,0.000658820710927,0.00835866261398,0.00901748332491,0.00497339147032
148,female,2010s,24,7556,2632,2435982,9.85228954894e-06,0.00317628374801,0.00911854103343,0.0122948247814,0.0285352588222
149,female vocalist,2010s,38,11767,2632,2435982,1.55994584525e-05,0.0032293702728,0.0144376899696,0.0176670602424,0.0727319240551
150,female vocalists,2010s,86,61719,2632,2435982,3.53040375504e-05,0.00139341207732,0.0326747720365,0.0340681841138,0.16073724232
151,folk,2010s,76,43598,2632,2435982,3.1198916905e-05,0.00174319922932,0.0288753799392,0.0306185791685,0.157041433159
152,folk pop,2010s,19,1074,2632,2435982,7.79972922624e-06,0.0176908752328,0.0072188449848,0.0249097202176,0.0996085370527
153,folk rock,2010s,17,9564,2632,2435982,6.97870509716e-06,0.00177749895441,0.00645896656535,0.00823646551976,0.00801211615605
154,hip hop,2010s,15,17541,2632,2435982,6.15768096809e-06,0.00085513938772,0.0056990881459,0.00655422753362,0.00300095490093
155,indie,2010s,139,122729,2632,2435982,5.70611769709e-05,0.00113257665262,0.052811550152,0.0539441268046,0.341300752143
156,indie folk,2010s,83,12598,2632,2435982,3.40725013567e-05,0.00658834735672,0.0315349544073,0.038123301764,0.707901305578
157,indie pop,2010s,103,41195,2632,2435982,4.22827426475e-05,0.00250030343488,0.0391337386018,0.0416340420367,0.413720658352
